trip_id,trip_property_id,value
53306909-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306932-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306932-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53306997-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53306997-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53307028-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53307028-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53307085-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53307085-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53307092-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53307092-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53307227-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53307227-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53307378-BUS42022-hbc42fr1-Weekday-02,note,Does not run during school vacation
53307378-BUS42022-hbc42fr1-Weekday-02,trip_type,supplemental
53314267-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53314267-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53314361-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53314361-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53314499-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53314499-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53314674-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53314674-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53314758-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53314758-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53314792-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53314792-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53314832-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53314832-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53314915-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53314915-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53314931-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53314931-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53315007-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53315007-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53315111-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53315111-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53315259-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53315259-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53315367-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53315367-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53315410-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53315410-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53315663-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53315663-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53315721-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53315721-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53315906-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53315906-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53315929-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53315929-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53315937-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53315937-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316015-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316015-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316099-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316099-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316107-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316107-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316108-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316108-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316188-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316188-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
53316283-BUS42022-hbc42wk1-Weekday-02,note,Does not run during school vacation
53316283-BUS42022-hbc42wk1-Weekday-02,trip_type,supplemental
